"Co_Ca","Lith","SGDsd","SGDmean","SGDtot","OFtot","CRtot","R1tot","R2tot","k1","k2","k3","K_r3","S1max","S2max","D3","P","ET_act","ET_pot"
64,10,0.00540250202224939,2.6461203596297,966.211948459075,186.316713835199,77.125775557302,1894.85217848819,966.24040282876,149.4919565,53.05213043,186.231074855738,3.39871170590526e-05,276.40625,300.99695654,18250.4596944188,2021.12796347571,868.570846811756,872.866412085714
66,10,2.15131525677209e-05,3.21767276917246,1174.9102282864,623.255994783092,61.3796213863784,1927.20833441474,1174.84013410663,33.33844737,11.84296711,327.786656101749,1.72974486473633e-07,376.9230769,340.13230265,1000,3109.04567549786,1310.94954660814,1311.76347264286
67,1,0.000361233291122698,4.54638244074126,1660.07907407638,332.080095081345,104.003495922282,3053.27774255329,1660.11248079294,146.1571908,52.95468421,8.73021099168693,1.32446156197086e-06,373.4177215,303.68809212,59543.8905813166,2878.18162568857,885.989049814286,885.989049814286
68,1,0.00149284600037818,3.39023109013831,1237.91866662764,646.768245197997,449.002475518133,1687.1265119999,1237.97754039399,333.6594545,123.9065,8.47584,1.14470166045188e-05,48.4375,292.23090911,151690.977962844,2629.98510538786,745.239319795871,865.444759978571
69,1,0.000290026276170611,2.28894257836383,835.791032899705,178.967183261066,88.9626037378003,1639.96986322,835.843567922844,171.472368,63.085276,33.7429268046415,1.99256640920702e-06,172.1695761,309.05364,66082.2034906792,1874.09242652,859.281675336089,931.032060314286
70,10,0.0016833269668869,2.18527656370037,797.938128116878,451.964719114773,76.3961504865379,1438.92326040001,797.975241291568,56.96656796,18.62924272,231.700387364574,1.10003709944534e-05,243.2885906,334.36859225,33215.5303210615,2234.63270884686,984.692748440517,1071.65349057143
71,1,0.000258883167287782,2.25222328161023,822.383243970821,78.5071465988227,85.7657358703856,1383.00221349951,822.392819024034,185.2330588,65.92705882,8.47584,1.60312563199313e-06,351,293.12980389,36053.7808083598,1704.29576720857,803.395801585714,803.395801585714
72,1,0.000188489772401928,2.11780820715589,773.302539641494,109.341702230868,68.2004587616582,1363.24350224687,773.350277299132,159.7384231,61.67192308,21.8323225951188,1.1620566709159e-06,314.0268456,292.0225,55849.050185692,1704.29576720857,821.603787678571,821.603787678571
73,1,0.0278317051385729,4.36125974433341,1592.48284378803,238.808790135771,49.9286485392688,3096.83580727727,1592.50723077137,243.2708333,122.1420556,9.18473160345459,0.000106569382770581,244.1860465,319.15333331,194263.766769987,2595.66376220643,764.347741299286,764.347741299286
74,1,0.000641889610582292,4.52862557603633,1653.59528176412,455.159661591793,89.4065073566013,3086.90122222587,1653.53939622535,112.58597,39.79109,42.6599438866833,2.60034651223834e-06,365.035461,295.4371,31889.859668474,2878.18162568857,769.482567871429,769.482567871429
75,10,0.000511792303322981,2.43115792869443,887.719952248995,399.161170484919,59.2385004252085,1407.86114782974,887.690331681383,49.34327687,16.74836612,268.029594831616,3.16985468699839e-06,471.6402116,343.9296357,16266.8024697932,2357.19209079143,1070.34058862513,1071.40779114286
76,10,0.0292484838165803,3.74645584425461,1367.99159113068,441.089747497668,97.9029564493222,2547.24759921323,1367.96930005876,96.41988462,36.2235,268.029594831616,0.000126427577295518,246.5217391,328.84653844,141052.361017186,2595.66376220643,786.60471465,786.60471465
